Key;Nieuw Wetboek van Strafvordering
126jj-2-0-0;6.5.13, 2 en 4
126jj-3-0-0;6.5.13, 3
126jj-3-a-0;6.5.13, 3, a
126jj-3-b-0;6.5.13, 3, b
126jj-3-0-0;bepaling over gegevensverwerking
126jj-4-0-0;Besluit B2
126jj-4-a-0;Besluit B2
126jj-4-b-0;Besluit B2
126jj-4-c-0;Besluit B2
126jj-4-d-0;Besluit B2
126jj-4-e-0;Besluit B2
126jj-4-0-0;Besluit B2
126jj-5-0-0;bepaling over gegevensverwerking
126jj-6-0-0;6.5.13, 5
126jj-7-0-0;6.5.13, 6
127-0-0-0;1.1.5
127a-0-0-0;43101
128-1-0-0;2.1.1
128-2-0-0;2.1.1
129-0-0-0;41640
130-0-0-0;1.1.13, 1
131-0-0-0;1.1.10, 2
131a-1-0-0;1.11.3, 1
131a-2-0-0;1.11.3, 2 en 3
131a-3-0-0;algemene regeling 5.1.1
131a-4-0-0;1.11.5, 1
131a-4-a-0;1.11.5, 1, a
131a-4-b-0;1.11.5, 1, b
131b-0-0-0;1.11.6, 4
132-0-0-0;vervallen (mvt)
132a-0-0-0;1.1.6
133-0-0-0;2.1.1
134-1-0-0;2.1.1
134-2-0-0;vervallen (mvt)
134-2-a-0;vervallen (mvt)
134-2-b-0;vervallen (mvt)
134-2-c-0;vervallen (mvt)
134-2-d-0;vervallen (mvt)
134-3-0-0;2.7.29, 5
135-0-0-0;vervallen
135a-1-0-0;"4.2.66, 1; 4.5.7, 3"
135a-2-0-0;"4.5.4, 5; 4.1.13, 1"
136-1-0-0;1.1.13, 2
136-2-0-0;vervallen (mvt)
136a-1-0-0;B6H3
136a-1-0-0;B6H3
136a-1-0-0;B6H3
136a-1-0-0;B6H3
136a-1-0-0;B6H3
136a-2-0-0;B6H3
136a-2-0-0;B6H3
136a-2-0-0;B6H3
136a-3-0-0;B6H3
136a-4-0-0;B6H3
136b-1-0-0;B6H3
136b-2-0-0;B6H3
136c-0-0-0;42370
136d-0-0-0;42736
137-0-0-0;vervallen (mvt)
138-0-0-0;"1.1.8; 1.1.9, 1"
138-0-0-0;vervallen (mvt)
138-0-0-0;1.1.8, 1
138-0-0-0;1.1.8, 2
138-0-0-0;1.1.9, 1
138a-0-0-0;vervallen (mvt)
138b-0-0-0;vervallen (mvt)
138c-0-0-0;vervallen (mvt)
138d-0-0-0;42005
138e-0-0-0;1.1.12, 1
138f-0-0-0;1.1.12, 2
138g-0-0-0;2.1.1
138h-0-0-0;2.1.1
140-0-0-0;1.3.1, 1
140a-0-0-0;2.1.6
141-0-0-0;40181
141-0-a-0;1.3.10, a
141-0-b-0;1.3.10, b
141-0-c-0;1.3.10, c
141-0-d-0;1.3.10, d
142-1-0-0;1.3.11, 1
142-1-a-0;1.3.11, 1, a
142-1-b-0;1.3.11, 1, b
142-1-c-0;1.3.11, 1, c
142-2-0-0;1.3.11, 2
142-3-0-0;1.3.11, 3
142-4-0-0;1.3.11, 4
142-5-0-0;1.3.11, 5
146-1-0-0;1.3.12, 2
146-2-0-0;1.3.16, 2
146a-0-0-0;1.3.13, 1 en 2
146a-0-a-0;1.3.13, 1, a
146a-0-b-0;1.3.13, 1, b
146a-0-c-0;1.3.13, 1, b
146a-0-d-0;1.3.13, 1, c en d
147-1-0-0;1.11.9, 1
147-2-0-0;1.11.9, 2
148-1-0-0;1.3.12, 1
148-2-0-0;41642
148-3-0-0;algemene regeling 2.1.10
148a-1-0-0;1.3.7
148a-2-0-0;"1.3.14; algemene regeling 2.1.10"
148b-1-0-0;1.3.7
148b-2-0-0;"1.3.14; algemene regeling 2.1.10"
148ba-1-0-0;1.3.7
148ba-2-0-0;"1.3.14; algemene regeling 2.1.10"
148c-0-0-0;42738
149-0-0-0;vervallen
149a-1-0-0;1.8.2, 1
149a-2-0-0;1.8.1
149a-3-0-0;1.8.11, 2
149a-4-0-0;1.8.11, 1
149b-1-0-0;1.8.3, 1
149b-2-0-0;1.8.3, 2
149b-3-0-0;1.8.3, 3
150-1-0-0;2.4.1, 1
150-2-0-0;"1.7.5, 2; 2.4.1, 2"
150a-1-0-0;"2.4.2, 1; 2.4.3, 1, a"
150a-2-0-0;2.4.2, 5
150a-3-0-0;2.4.3, 1, b
150a-4-0-0;2.4.2, 5
150b-1-0-0;2.4.3, 4
150b-2-0-0;algemene regeling B2H10
150b-3-0-0;algemene regeling B2H10
150c-1-0-0;2.4.3, 5
150c-2-0-0;2.4.4, 1
150c-3-0-0;2.4.4, 2
151-1-0-0;2.7.67, 1
151-2-0-0;2.7.67, 2
151-3-0-0;2.7.67, 3
151a-1-0-0;"2.6.17, 2, 3 en 7; 2.6.4, b"
151a-2-0-0;Besluit B2
151a-3-0-0;2.6.17, 2
151a-4-0-0;Besluit B2
151a-5-0-0;2.6.17, 6
151a-6-0-0;Besluit B2
151a-7-0-0;Besluit B2
151a-8-0-0;bepaling over gegevensverwerking
151a-9-0-0;Besluit B2
151a-10-0-0;Besluit B2
151a-11-0-0;2.6.5, 4
151b-1-0-0;2.6.17, 1 en 6
151b-2-0-0;vervallen (mvt)
151b-3-0-0;2.6.17, 4
151b-4-0-0;2.6.17, 5
151b-5-0-0;2.6.5, 3
151d-1-0-0;2.6.19, 1
151d-2-0-0;2.6.19, 1
151d-3-0-0;2.6.19, 2
151d-4-0-0;2.6.19, 1
151d-5-0-0;2.6.5, 3
151da-1-0-0;2.6.18, 1
151da-2-0-0;2.6.18, 4 en 5
151da-3-0-0;2.6.18, 2 en 3
151da-4-0-0;2.6.5, 3
151e-1-0-0;2.6.20, 1
151e-2-0-0;2.6.20, 2
151e-3-0-0;2.6.20, 3
151e-4-0-0;2.6.20, 3
151e-5-0-0;2.6.20, 4
151e-6-0-0;2.6.5, 3
151f-1-0-0;algemene regeling B2H4
151f-2-0-0;2.6.20, 5
151f-3-0-0;algemene regeling B2H4
151f-4-0-0;algemene regeling B2H4
151f-5-0-0;2.4.4, 2
151g-1-0-0;2.6.23, 1
151g-2-0-0;2.6.23, 2
151g-3-0-0;2.6.27, 1
151h-1-0-0;2.6.21, 1 en 2
151h-2-0-0;2.6.21, 3
151h-3-0-0;"2.6.20, 5; algemene regeling B2H4"
151h-4-0-0;2.6.5, 3
151i-1-0-0;44598
151i-2-0-0;"2.6.20, 5; algemene regeling B2H4"
151i-3-0-0;2.6.5, 3
152-1-0-0;40210
152-2-0-0;"1.3.15; 2.1.10, 4"
153-1-0-0;2.1.11, 1
153-2-0-0;2.1.11, 2
156-1-0-0;2.1.12, 1
156-2-0-0;2.1.12, 1
156-3-0-0;2.1.12, 2
159-0-0-0;40940
160-1-0-0;2.2.3
160-2-0-0;2.2.5
160-3-0-0;2.2.3
161-0-0-0;2.2.1, 1
162-1-0-0;2.2.4, 1
162-1-a-0;2.2.4, 1, a
162-1-b-0;2.2.4, 1, a
162-1-c-0;2.2.4, 1, b
162-2-0-0;vervallen (mvt)
162-3-0-0;2.2.5
162-4-0-0;2.2.4, 2
162-5-0-0;2.2.4, 4
162-6-0-0;2.2.4, 3
162-7-0-0;vervallen (mvt)
163-1-0-0;2.2.6
163-2-0-0;2.2.7, 2
163-3-0-0;2.2.7, 3
163-4-0-0;2.2.8
163-5-0-0;2.2.9, 1
163-6-0-0;2.2.9, 2
163-7-0-0;2.2.9, 3
163-8-0-0;2.2.6
163-9-0-0;2.2.2
163-10-0-0;2.1.12, 2
164-1-0-0;"2.2.1, 2; 2.2.6"
164-2-0-0;"2.2.7, 2 en 3; 2.2.9, 1"
165-1-0-0;2.2.2
165-2-0-0;2.1.11, 2
165a-0-0-0;3.1.1, 5
166-1-0-0;40211
166-2-0-0;2.1.11, 2
166a-1-0-0;40576
166a-2-0-0;40576
166a-3-0-0;40576
166a-4-0-0;40576
167-1-0-0;3.1.1, 1 en 2
167-2-0-0;1.3.4
167a-0-0-0;3.1.1, 4
170-1-0-0;1.2.25, 1
170-2-0-0;1.2.25, 2
171-1-0-0;1.2.27, 1
171-2-0-0;1.2.27, 2
172-1-0-0;"1.2.29; 2.10.10, 1"
172-2-0-0;2.10.10, 2
172-3-0-0;2.10.10, 2
173-0-0-0;1.6.4
174-1-0-0;2.10.10, 5
174-2-0-0;2.10.10, 5
175-1-0-0;vervallen (mvt)
175-2-0-0;vervallen (mvt)
175-3-0-0;vervallen (mvt)
175-4-0-0;2.10.10, 3
176-0-0-0;2.10.52, 1
177-1-0-0;2.10.8
177-2-0-0;1.11.9, 1 en 2
177a-0-0-0;46754
177b-1-0-0;2.6.27, 1
177b-2-0-0;2.6.27, 3
177b-3-0-0;47850
177b-4-0-0;47850
177b-5-0-0;"2.6.20; 2.6.21; 2.6.22; 2.6.23"
178-0-0-0;47485
178a-1-0-0;1.2.26, 4
178a-2-0-0;1.2.26, 5
178a-3-0-0;55194
178a-4-0-0;vervallen (mvt)
179-0-0-0;vervallen (mvt)
180-1-0-0;algemene regeling 1.2.25, 2
180-2-0-0;2.10.67, 1
180-3-0-0;2.10.67, 2
181-1-0-0;2.10.1, 1 en 2
181-2-0-0;algemene regeling 2.10.11, 2
181-3-0-0;"2.10.1, 3; 2.10.5"
182-1-0-0;2.10.2, 1
182-2-0-0;algemene regeling 1.2.26
182-3-0-0;2.10.2, 2
182-4-0-0;2.10,2, 3
182-5-0-0;2.10.5, 2
182-6-0-0;algemene regeling B2T10.7
182-7-0-0;2.10.3, 1, a en 2
183-1-0-0;2.10.4
183-2-0-0;2.10.5, 2 en 4
183-3-0-0;algemene regeling B2T10.7
184-1-0-0;2.10.6, 1 en 2
184-2-0-0;2.10.7, 1 en 2
185-1-0-0;2.10.66, 1
185-2-0-0;2.10.66, 2
186-1-0-0;2.10.18, 1
186-2-0-0;2.10.18, 1
186-3-0-0;2.10.18, 2
186a-1-0-0;"2.10.19, 1; 2.10.28, 1"
186a-2-0-0;2.10.29, 1
186a-3-0-0;"2.10.19, 2; 2.10.28, 2"
187-1-0-0;2.10.29, 2
187-2-0-0;"2.10.29, 3; 2.10.32, 4"
187-3-0-0;2.10.32, 5
187a-0-0-0;40949
187b-1-0-0;2.10.33, 1
187b-2-0-0;2.10.33, 2
187c-0-0-0;2.10.20, 1
187d-1-0-0;2.10.32, 1
187d-1-a-0;2.10.32, 1, a
187d-1-b-0;2.10.32, 1, b
187d-1-c-0;2.10.32, 1, c
187d-2-0-0;algemene regeling 2.10.11
187d-3-0-0;2.10.32, 2
187d-4-0-0;2.10.32, 3
187d-5-0-0;algemene regeling 5.1.1
188-0-0-0;2.10.21, 1
189-1-0-0;2.10.21, 2
189-2-0-0;2.10.21, 2
190-1-0-0;"1.6.1, 1 en 2; 1.7.6, 1 en 2"
190-2-0-0;"2.10.31, 1; 2.10.57, 1"
190-3-0-0;2.10.31, 2
190-4-0-0;2.10.31, 3
190-5-0-0;2.10.31, 4
190-6-0-0;2.10.31, 4
191-1-0-0;"1.11.7, 1, a en 3; 1.11.8, 1"
191-2-0-0;1.11.6, 4 en 5
191-3-0-0;1.11.8, 3
192-1-0-0;2.7.68, 1
192-2-0-0;2.10.16, 1
192-3-0-0;algemene regeling 2.1.10
193-1-0-0;"2.7.68,1 ; 2.7.67, 2"
193-2-0-0;"2.7.68, 1; 2.7.67, 3"
195-1-0-0;"2.6.6, 1; 2.6.7, 1"
195-2-0-0;2.6.7, 1 en 2
195-3-0-0;"2.6.6, 5; 2.6.7, 4"
195-4-0-0;Besluit B2
195-5-0-0;"2.6.6, 5; 2.6.7, 4"
195a-1-0-0;"2.6.17, 2, 3 en 7;"
195a-2-0-0;Besluit B2
195a-3-0-0;Besluit B2
195a-4-0-0;2.6.17, 6
195a-5-0-0;bepaling over gegevensverwerking
195a-6-0-0;2.6.5, 3
195b-1-0-0;algemene regeling B2H4
195b-2-0-0;algemene regeling B2H4
195b-3-0-0;2.4.4, 1
195c-0-0-0;algemene regeling B2H4
195d-1-0-0;2.6.17, 1 en 6
195d-2-0-0;vervallen (mvt)
195d-3-0-0;2.6.17, 4
195d-4-0-0;2.6.17, 5
195d-5-0-0;2.6.5, 1 en 4
195f-1-0-0;2.6.19, 1
195f-2-0-0;2.6.19, 1
195f-3-0-0;2.6.19, 2
195f-4-0-0;2.6.19, 1
195f-5-0-0;2.6.5, 1
195g-1-0-0;2.6.18, 1
195g-2-0-0;2.6.18, 4 en 5
195g-3-0-0;2.6.18, 2 en 3
195g-4-0-0;2.6.5, 1
196-0-0-0;44967
197-1-0-0;2.10.24, 1
197-2-0-0;2.10.24, 2
197-3-0-0;2.10.71, 2, a
197-4-0-0;algemene regeling 1.2.20, 3
198-1-0-0;2.10.25, 1
198-2-0-0;2.10.25, 2
198-3-0-0;2.10.25, 2
198-4-0-0;2.10.25, 3
198-5-0-0;2.10.25, 4
199-0-0-0;vervallen (mvt)
200-0-0-0;41315
202-1-0-0;2.10.16, 1
202-2-0-0;2.10.16, 2
203-0-0-0;vervallen (mvt)
204-0-0-0;vervallen (mvt)
205-0-0-0;41680
206-1-0-0;42045
206-2-0-0;42045
209-0-0-0;44602
210-1-0-0;2.10.26, 1
210-2-0-0;2.10.26, 3
210-3-0-0;2.10.26, 4
211-0-0-0;vervallen (mvt)
212-1-0-0;46428
212-2-0-0;46428
213-1-0-0;2.10.26, 1
213-2-0-0;46428
214-1-0-0;46428
214-2-0-0;46428
215-0-0-0;2.10.30, 1
216-1-0-0;2.10.30, 1
216-1-a-0;vervallen (mvt)
216-1-b-0;vervallen (mvt)
216-1-c-0;vervallen (mvt)
216-2-0-0;2.10.30, 1
216-3-0-0;vervallen (mvt)
216a-1-0-0;2.10.30, 1
216a-2-0-0;2.10.30, 2
216a-3-0-0;2.10.57, 2
216a-4-0-0;2.10.30, 3
217-0-0-0;1.6.5, 1
217-0-0-1;1.6.5, 1, a
217-0-0-2;1.6.5, 1, b
217-0-0-3;1.6.5, 1, c en d
218-0-0-0;1.6.7
218a-1-0-0;1.6.8, 1
218a-2-0-0;1.6.8, 2
219-0-0-0;1.6.6
219a-0-0-0;1.6.9
219b-0-0-0;40184
220-1-0-0;1.6.3, 3
220-2-0-0;1.6.3, 3
221-1-0-0;2.10.34, 1
221-2-0-0;2.10.34, 2
222-1-0-0;2.10.35, 1
222-2-0-0;2.10.35, 2
222-3-0-0;2.10.35, 3
223-1-0-0;2.10.36, 1
223-2-0-0;2.10.36, 2
223-3-0-0;2.10.72, 1
223-4-0-0;2.10.36, 3
224-0-0-0;50081
225-1-0-0;2.10.38, 1
225-2-0-0;2.10.38, 2
225-3-0-0;2.10.38, 3
225-4-0-0;2.10.38, 4
226-1-0-0;1.6.14, 1
226-2-0-0;1.6.14, 2
226a-1-0-0;2.10.39, 1
226a-1-a-0;2.10.39, 1, a
226a-1-b-0;2.10.39, 1, b
226a-1-0-0;algemene regeling 2.10.5
226a-2-0-0;2.10.39, 2
226a-3-0-0;2.10.39, 4
226b-1-0-0;2.10.40, 1
226b-2-0-0;"2.10.72, 2, a; 2.10.73, 1"
226b-3-0-0;2.10.40, 3
226b-4-0-0;algemene regeling 5.1.1
226b-5-0-0;4.2.1, 3
226c-1-0-0;2.10.41, 1
226c-2-0-0;2.10.41, 2
226c-3-0-0;2.10.41, 3
226d-1-0-0;2.10.42, 1
226d-2-0-0;2.10.42, 2
226d-3-0-0;2.10.42, 3
226e-0-0-0;52272
226f-1-0-0;2.10.44, 1
226f-2-0-0;2.10.44, 2
226f-3-0-0;2.10.44, 3
226g-1-0-0;2.10.59, 1
226g-2-0-0;2.10.59, 2
226g-2-a-0;2.10.59, 2, a
226g-2-b-0;2.10.59, 2, b
226g-2-c-0;2.10.59, 2, c
226g-2-d-0;2.10.59, 2, d
226g-3-0-0;2.10.59, 3
226g-4-0-0;2.10.59, 4
226h-1-0-0;2.10.60, 1
226h-2-0-0;2.10.60, 2
226h-3-0-0;2.10.60, 3
226h-4-0-0;2.10.60, 4
226i-1-0-0;58847
226i-2-0-0;2.10.70, 2, c
226i-3-0-0;algemene regeling 5.1.1
226j-1-0-0;2.10.62, 1
226j-2-0-0;2.10.62, 2
226j-3-0-0;2.10.62, 3
226j-4-0-0;2.10.62, 4
226k-1-0-0;2.10.63, 1
226k-2-0-0;2.10.63, 2
226l-1-0-0;1.6.15, 1
226l-2-0-0;1.6.15, 2
226l-3-0-0;1.6.15, 3
226l-4-0-0;1.6.15, 4
226l-5-0-0;1.6.15, 5
226l-6-0-0;1.6.15, 6
226l-7-0-0;1.6.15, 7
226m-1-0-0;2.10.45, 1
226m-2-0-0;2.10.45, 2
226m-3-0-0;algemene regeling 2.10.11
226m-4-0-0;algemene regeling 5.1.1
226n-1-0-0;2.10.46, 1
226n-2-0-0;2.10.46, 2
226n-3-0-0;2.10.46, 3
226o-0-0-0;algemene regeling Afdeling 10.3.1
226p-1-0-0;2.10.47, 1
226p-2-0-0;2.10.47, 2
226p-3-0-0;2.10.47, 3
226p-4-0-0;2.10.47, 4
226p-5-0-0;2.10.47, 5
226q-0-0-0;54098
226r-1-0-0;2.10.49, 1
226r-2-0-0;2.10.49, 2
226s-1-0-0;2.10.50, 1
226s-2-0-0;2.10.50, 2
227-1-0-0;2.10.52, 1
227-2-0-0;2.10.52, 2 en 3
228-1-0-0;2.10.53, 1
228-2-0-0;2.10.53, 2
228-3-0-0;2.10.54, 3
228-4-0-0;vervallen (mvt)
229-1-0-0;2.10.53, 3 en 4
229-2-0-0;2.10.53, 3 en 4
230-1-0-0;2.10.53, 5
230-2-0-0;vervallen (mvt)
231-1-0-0;2.10.54, 1
231-2-0-0;2.10.55, 1
232-0-0-0;57020
236-0-0-0;algemene regeling 1.7.3
237-0-0-0;2.10.68, 1
238-1-0-0;2.10.68, 2
238-2-0-0;2.10.69, 1 en 2
241b-0-0-0;1.4.20, 1
241c-0-0-0;algemene regeling 5.1.1
242-1-0-0;3.1.1, 2
242-2-0-0;3.4.1, 1
242-3-0-0;3.4.1, 2
243-1-0-0;3.4.2, 1
243-2-0-0;3.4.3, 5
243-3-0-0;vervallen
243-4-0-0;vervallen
243-5-0-0;3.5.11, 2 en 3
246-1-0-0;3.4.2, 1
246-2-0-0;"1.3.8; 4.1.15, 4"
247-0-0-0;3.4.2, 2
247-0-a-0;3.4.2, 2
247-0-b-0;3.4.2, 2
247-0-c-0;3.4.2, 2
247-0-d-0;3.4.2, 2
247-0-e-0;3.4.2, 2
247-0-0-0;3.4.2, 2
255-1-0-0;"3.4.3, 1; 3.2.4"
255-2-0-0;3.4.2, 2
255-3-0-0;3.4.3, 3
255-4-0-0;3.4.3, 3
255a-1-0-0;3.3.7
255a-2-0-0;3.3.7
255a-3-0-0;Boek 7
256-1-0-0;vervallen (mvt)
256-2-0-0;vervallen (mvt)
257a-1-0-0;3.3.1, 1
257a-2-0-0;3.3.1, 2
257a-2-a-0;3.3.1, 2, a
257a-2-b-0;3.3.1, 2, b
257a-2-c-0;3.3.1, 2, c
257a-2-d-0;3.3.1, 2, d
257a-2-e-0;3.3.1, 2, e
257a-3-0-0;3.3.1, 3
257a-3-a-0;3.3.1, 3, a
257a-3-b-0;3.3.1, 3, b
257a-3-c-0;3.3.1, 3, c
257a-3-d-0;3.3.1, 3, d
257a-3-e-0;3.3.1, 3, e
257a-4-0-0;3.3.1, 4
257a-5-0-0;Boek 7
257a-6-0-0;3.3.1, 6
257a-6-a-0;3.3.1, 6, a
257a-6-b-0;3.3.1, 6, b
257a-6-c-0;3.3.1, 6, c
257a-6-d-0;3.3.1, 6, d
257a-6-e-0;3.3.1, 6, e
257a-6-f-0;3.3.1, 6, f
257a-6-g-0;3.3.1, 6, g
257a-7-0-0;3.3.1, 7
257a-8-0-0;46539
257b-1-0-0;3.3.2, 1
257b-2-0-0;3.3.2, 2
257b-3-0-0;3.3.2, 3
257ba-1-0-0;3.3.3, 1
257ba-2-0-0;3.3.3, 2
257ba-3-0-0;3.3.3, 3
257c-1-0-0;3.3.4, 1
257c-2-0-0;3.3.4, 2
257c-3-0-0;3.3.4, 3
257c-4-0-0;3.3.4, 4
257c-5-0-0;3.3.4, 5
257d-1-0-0;3.3.5, 1
257d-2-0-0;algemene regeling B1H9
257d-3-0-0;algemene regeling B1H9
257d-4-0-0;3.3.5, 2 en 3
257d-5-0-0;3.3.5, 4
257e-1-0-0;"5.3.1, 1 en 2; 5.3.2, 1 en 2"
257e-2-0-0;5.2.1, 1
257e-3-0-0;algemene regeling 5.2.2
257e-4-0-0;algemene regeling 5.2.2
257e-5-0-0;5.3.3
257e-6-0-0;5.2.4, 5 en 7
257e-7-0-0;"5.2.4, 3; 5.2.8, 3"
257e-8-0-0;5.3.2, 3
257e-9-0-0;3.3.6, 1 en 2
257f-1-0-0;5.3.6, 1
257f-2-0-0;42744
257f-3-0-0;5.3.5, 2 en 3
257f-4-0-0;"5.1.3, 1; 5.3.6"
257h-1-0-0;3.3.8, 1
257h-2-0-0;3.3.8, 2
257h-3-0-0;3.6.3
258-1-0-0;4.1.1, 1
258-2-0-0;"4.1.6, 1; 4.1.7, 1, a, b en d; 4.1.8, 3"
258-3-0-0;"1.5.6, 3; 1.5.8, 8"
258a-1-0-0;4.2.2, 1
258a-1-a-0;4.2.2, 1, a
258a-1-b-0;4.2.2, 1, b
258a-2-0-0;"4.2.2, 2; 4.1.7, 2"
259-0-0-0;4.1.1, 2
260-1-0-0;"4.1.11, 1; 1.11.7, 1, c"
260-2-0-0;4.1.11, 3
260-3-0-0;"4.1.1, 3, c; 4.1.12, 1, b"
260-4-0-0;"4.1.2, 1, d en e; 4.1.12, 1, c, d, e, f, g"
260-5-0-0;4.1.2, 2
260-6-0-0;6.1.28, 4
261-1-0-0;4.1.1, 3
261-2-0-0;vervallen (mvt)
261-3-0-0;vervallen (mvt)
262-1-0-0;3.2.1, 1
262-2-0-0;3.2.2, 1
262-3-0-0;vervallen (mvt)
262-4-0-0;3.2.3, 1
262-5-0-0;3.2.3, 2
262-6-0-0;3.2.3, 3
262-7-0-0;vervallen (mvt)
262a-1-0-0;3.6.2, 1 en 2
262a-2-0-0;3.6.2, 3
262a-3-0-0;vervallen (mvt)
263-1-0-0;"4.1.4, 1; algemene regeling B1H11"
263-2-0-0;4.1.4, 3 en 9
263-3-0-0;4.1.4, 1
263-4-0-0;4.1.8, 1
263-5-0-0;4.1.11, 1
264-1-0-0;4.1.4. 5
264-1-a-0;vervallen (mvt)
264-1-b-0;4.1.4, 5, a
264-1-c-0;vervallen
264-2-0-0;4.1.8, 2
264-2-a-0;"4.1.4, 5, b; 4.2.21, 1, a"
264-2-b-0;"4.1.4, 5, c; 4.2.21, 1, b"
264-3-0-0;vervallen
265-1-0-0;4.1.13, 1
265-2-0-0;4.1.13, 2
265-3-0-0;4.2.13, 6
266-1-0-0;4.1.15, 1
266-2-0-0;4.1.15, 1
266-3-0-0;4.1.15, 2 en 4
267-1-0-0;"4.1.15, 2; 3.1.3. 1, c"
267-2-0-0;3.1.3, 4
268-1-0-0;1.2.5, 1
268-2-0-0;4.2.1, 2
268-3-0-0;4.2.1, 1
269-1-0-0;4.2.3, 1
269-2-0-0;4.2.3, 2
269-3-0-0;4.2.3, 3
269-4-0-0;4.2.3, 4
269-5-0-0;4.2.3, 5
270-0-0-0;40635
271-1-0-0;"1.2.1; 1.6.4"
271-2-0-0;1.2.1
272-1-0-0;"1.2.5, 3; 4.2.5, 1"
272-2-0-0;4.2.5, 2
272-3-0-0;4.2.5, 3
273-1-0-0;algemene regeling 1.4.8
273-2-0-0;41001
273-3-0-0;4.2.5, 1
274-1-0-0;algemene regeling B1T11.3
274-2-0-0;algemene regeling B1T11.3
274-3-0-0;algemene regeling B1T11.3
275-1-0-0;algemene regeling B1T11.3
275-2-0-0;4.3.6, 4
276-1-0-0;1.11.7, 1, c
276-2-0-0;4.2.10, 1
276-3-0-0;1.11.8, 3
276-4-0-0;4.2.10, 2
277-1-0-0;4.2.9, 1
277-2-0-0;4.2.9, 2
278-1-0-0;4.2.13, 1
278-2-0-0;4.2.13, 2
278-3-0-0;4.2.13, 3
278-4-0-0;"4.1.14, 1; 4.2.13, 4"
278-5-0-0;4.2.13, 5
279-1-0-0;41731
279-2-0-0;vervallen (mvt)
280-1-0-0;4.2.15, 1
280-1-a-0;4.2.15, 1, a
280-1-b-0;4.2.15, 1, b
280-1-0-0;4.2.15, 1
280-2-0-0;4.12.15, 2
280-3-0-0;4.2.15, 3 en 4
281-1-0-0;4.2.55, 1
281-2-0-0;4.2.55, 2
281-3-0-0;4.2.55, 3
281-4-0-0;4.2.55, 4
281-5-0-0;vervallen (mvt)
282-1-0-0;4.2.56, 1
282-2-0-0;4.2.56, 1
282-3-0-0;4.2.56, 2
282-4-0-0;vervallen (mvt)
282a-1-0-0;1.2.6, 2
282a-2-0-0;1.2.7, 3
282a-3-0-0;1.2.7, 2
283-1-0-0;4.2.26, 1
283-2-0-0;4.2.26, 2
283-3-0-0;4.2.26, 3
283-4-0-0;4.2.26, 4
283-5-0-0;4.2.26, 5
283-6-0-0;4.2.26, 6
284-1-0-0;4.2.25, 1
284-2-0-0;vervallen (mvt)
285-1-0-0;4.2.30, 1
285-2-0-0;4.2.30, 1
285-3-0-0;4.2.30, 2
286-1-0-0;4.2.35, 1
286-2-0-0;45018
286-3-0-0;4.2.35, 2
286-4-0-0;4.2.35, 1
286-5-0-0;4.2.35, 3
286-6-0-0;4.2.35, 4
287-1-0-0;42462
287-2-0-0;44653
287-3-0-0;4.2.19, 1
287-3-a-0;"4.2.19, 1, b en c; 4.2.21, 1"
287-3-b-0;4.2.19, 1, a en 4
287-4-0-0;algemene regeling 1.11.7
288-1-0-0;4.2.19, 2
288-1-a-0;4.2.19, 2. a
288-1-b-0;4.2.19, 2, b
288-1-c-0;4.2.19, 2, c
288-2-0-0;"4.2.21, 2; 4.2.52"
288-3-0-0;4.2.19, 3
288-4-0-0;41645
288a-1-0-0;"4.2.23; 4.2.17, 1"
288a-2-0-0;algemene regeling 1.1.4
289-1-0-0;4.2.17, 1
289-2-0-0;4.2.17, 2
289-3-0-0;4.2.17, 3
289-3-a-0;4.2.17, 3, a
289-3-b-0;4.2.17, 3, b
289-4-0-0;45018
290-1-0-0;1.6.1, 1 en 2
290-2-0-0;4.2.37, 1
290-3-0-0;4.2.37, 2
290-4-0-0;4.2.37, 3
290-5-0-0;algemene regeling B1T6.2
291-0-0-0;1.6.3, 1
292-1-0-0;4.2.38, 1
292-2-0-0;4.2.38, 2
292-3-0-0;4.2.38, 3
292-4-0-0;4.2.38, 4
292-5-0-0;4.2.38, 5
293-1-0-0;4.2.39, 2
293-2-0-0;4.2.39, 1
294-1-0-0;4.2.40, 1
294-2-0-0;4.2.40, 2
294-3-0-0;4.2.40, 3
294-4-0-0;4.2.40, 4
295-1-0-0;4.2.41, 1
295-2-0-0;4.2.41, 1
295-3-0-0;4.2.41, 2
295-4-0-0;vervallen (mvt)
295-5-0-0;4.2.41, 3
296-1-0-0;4.2.43, 1
296-2-0-0;4.2.43, 1
297-1-0-0;51958
297-2-0-0;4.2.43, 2
297-3-0-0;4.2.43, 3
297-4-0-0;4.2.43, 3
299-0-0-0;"4.2.24; 4.2.44, 1"
300-1-0-0;4.2.36, 1
300-2-0-0;4.2.36, 2
301-1-0-0;4.2.31, 1
301-2-0-0;4.2.31, 2
301-3-0-0;4.2.31, 3
301-4-0-0;4.3.6, 1
302-0-0-0;53784
303-1-0-0;vervallen (mvt)
303-2-0-0;4.2.18, 1 en 2
309-1-0-0;54150
309-2-0-0;48671
310-0-0-0;1.11.9, 1
311-1-0-0;"4.2.62, 1; 4.4.12, 2"
311-2-0-0;4.2.62, 2
311-3-0-0;4.2.62, 3
311-4-0-0;4.2.63, 1
311-5-0-0;4.2.63, 2
312-0-0-0;4.2.27, 1
313-1-0-0;4.2.27, 1
313-2-0-0;4.2.27, 2
