Key;Nieuw Wetboek van Strafvordering
51e-4-b-0;1.5.8, 4, b
51e-5-0-0;53419
51e-6-0-0;1.5.8, 5
51e-7-0-0;1.5.8, 6 en 9
51e-8-0-0;1.5.8, 7
51f-1-0-0;1.5.10, 1
51f-2-0-0;1.5.10, 2
51f-3-0-0;1.5.10, 3
51f-4-0-0;40913
51f-5-0-0;algemene regeling (1.5.3 1.5.4, 1.5.14)
51g-1-0-0;"1.5.13; 4.4.1, 1"
51g-2-0-0;4.4.2
51g-3-0-0;4.4.1, 2
51g-4-0-0;1.5.10, 4
51h-1-0-0;1.11.2, 1
51h-2-0-0;1.11.2, 2
51h-3-0-0;1.11.2, 3
51h-4-0-0;1.11.2, 4
51i-1-0-0;1.7.1, 1
51i-2-0-0;1.7.1, 2 en 3
51i-3-0-0;1.7.1, 3
51i-4-0-0;1.7.2, 2
51j-1-0-0;1.7.3, 1
51j-2-0-0;1.7.3, 2
51j-3-0-0;1.7.3, 3
51j-4-0-0;41796
51k-1-0-0;1.7.2, 1
51k-2-0-0;1.7.2, 3
51l-1-0-0;1.7.4, 2
51l-2-0-0;1.7.1, 3 en 4
51l-3-0-0;1.7.4, 3
51m-1-0-0;vervallen (mvt)
51m-2-0-0;4.2.44, 2
51m-3-0-0;vervallen (mvt)
52-0-0-0;2.5.3, 1
53-1-0-0;2.5.4, 1
53-2-0-0;2.5.4, 2
53-3-0-0;2.5.4, 3
53-4-0-0;vervallen (mvt)
54-1-0-0;2.5.5, 1
54-2-0-0;2.5.5, 2
54-3-0-0;2.5.5, 3
54-4-0-0;2.5.5, 4
54-5-0-0;2.5.5, 5
55-1-0-0;2.5.6, 1
55-2-0-0;2.5.6, 2
55a-1-0-0;2.5.7, 1
55a-2-0-0;2.5.7, 2
55b-1-0-0;2.6.6, 1
55b-2-0-0;2.6.6, 1
55b-3-0-0;algemene regeling (2.1.10)
55c-1-0-0;2.5.8
55c-2-0-0;2.6.9, 2 en 4
55c-3-0-0;2.6.9, 3 en 4
55c-4-0-0;bepaling over gegevensverwerking
55c-5-0-0;algemene regeling (2.6.5)
55d-1-0-0;2.6.10, 1
55d-1-a-0;2.6.10, 1, a
55d-1-b-0;2.6.10, 1, b
55d-2-0-0;2.6.10, 2
55d-3-0-0;2.6.10, 3
55d-4-0-0;algemene regeling (2.6.5)
55e-1-0-0;2.6.11, 1
55e-2-0-0;2.6.11, 2
55e-3-0-0;2.6.11, 2
55e-4-0-0;2.6.11, 3
55e-5-0-0;algemene regeling (2.6.5)
56-1-0-0;"2.6.6, 1; 2.6.7, 1"
56-2-0-0;2.6.8, 1, 2 en 3
56-3-0-0;algemene regeling (2.6.5)
56-4-0-0;2.6.6, 1
56a-1-0-0;2.5.9, 1
56a-2-0-0;2.5.9, 2
56a-3-0-0;40579
56a-4-0-0;2.5.9, 3
56a-5-0-0;vervallen (mvt)
56b-1-0-0;2.5.10, 1
56b-2-0-0;algemene regeling (B2T5.1)
56b-3-0-0;2.5.10, 2
57-1-0-0;"2.5.13, 1; 2.5.14, 2"
57-2-0-0;2.5.13, 2
57-3-0-0;algemene regeling (2.1.10)
57-4-0-0;2.5.13, 3
57-5-0-0;2.5.14, 4
58-1-0-0;2.5.14, 1
58-2-0-0;2.5.14, 3
58-3-0-0;2.5.14, 4
59-1-0-0;2.5.15, 1
59-2-0-0;besluit B2H1
59-3-0-0;besluit B2
59-4-0-0;2.5.15, 2
59-5-0-0;2.5.15, 3
59-6-0-0;2.5.15, 4
59-7-0-0;2.5.15, 2
59a-1-0-0;2.5.17, 1
59a-2-0-0;2.5.17, 2
59a-3-0-0;2.5.17, 3
59a-4-0-0;2.5.17, 4
59a-5-0-0;2.5.17, 5 en 6
59a-6-0-0;2.5.17, 7
59b-0-0-0;2.5.17, 1
59c-1-0-0;2.5.59, 1
59c-2-0-0;2.5.59, 2
59c-3-0-0;2.5.59, 3
60-0-0-0;2.5.17, 1
61a-1-0-0;2.6.12, 1
61a-1-a-0;2.6.12, 1, b
61a-1-b-0;"2.6.12, 1, a en c; 2.6.13, 1"
61a-1-c-0;2.6.16, 1
61a-1-d-0;vervallen (mvt)
61a-1-e-0;"2.6.12, 4; 2.6.16, 2"
61a-1-f-0;2.6.16, 1
61a-1-g-0;2.6.8, 4
61a-1-h-0;2.6.7, 1
61a-2-0-0;algemene regeling (2.1.8)
61a-3-0-0;algemene regeling (2.6.5)
62-1-0-0;vervallen (mvt)
62-2-0-0;2.5.16, 1
62-2-a-0;2.5.16, 1, a
62-2-b-0;2.5.16, 1, b
62-3-0-0;vervallen (mvt)
62-4-0-0;vervallen (mvt)
62-5-0-0;2.5.16, 2
62a-1-0-0;2.5.16, 1
62a-2-0-0;2.5.16, 1
62a-3-0-0;2.5.16, 3
62a-4-0-0;"2.5.16, 2; 2.5.58"
63-1-0-0;2.5.42, 1 en 2
63-2-0-0;2.5.42, 3
63-3-0-0;2.5.42, 3 en 4
63-4-0-0;2.5.42, 5
63-5-0-0;6.1.26, 2
63-6-0-0;6.1.28, 2 en 3
64-1-0-0;2.5.43, 1
64-2-0-0;2.5.43, 2
64-3-0-0;2.5.61, 3
65-1-0-0;2.5.44, 1
65-2-0-0;2.5.44, 2
65-3-0-0;2.5.44, 3
66-1-0-0;2.5.45, 1
66-2-0-0;2.5.45, 2
66-3-0-0;2.5.45, 3
66-4-0-0;2.5.45, 4
66a-1-0-0;2.5.46, 1
66a-1-a-0;2.5.46, 1, a
66a-1-b-0;2.5.46, 1, b
66a-1-c-0;2.5.46, 1, c
66a-2-0-0;vervallen
66a-3-0-0;vervallen
66a-4-0-0;2.5.46, 2
66a-5-0-0;1.2.4
66a-6-0-0;"4.2.56; 2.5.53"
67-1-0-0;2.1.8
67-1-a-0;2.5.26, 1
67-1-b-0;2.1.8, a
67-1-c-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-1-0-0;2.1.8, b
67-2-0-0;2.5.26, 2
67-3-0-0;2.5.29, 1
67-4-0-0;2.5.29, 2
67a-1-0-0;2.5.27, 1
67a-1-a-0;2.5.27, 1, a
67a-1-b-0;vervallen (mvt)
67a-2-0-0;vervallen (mvt)
67a-2-0-1;2.5.27, 1, c
67a-2-0-2;2.5.27, 1, d
67a-2-0-0;2.5.27, 1, d
67a-2-0-0;2.5.27, 1, d
67a-2-0-3;2.5.27, 1, e
67a-2-0-4;2.5.27, 1, f
67a-2-0-5;2.5.27, 1, b
67a-3-0-0;47519
67a-4-0-0;2.5.27, 2
67a-5-0-0;2.5.27, 3
67b-1-0-0;2.5.47, 1
67b-2-0-0;2.5.47, 2
67b-3-0-0;2.5.47, 3
67b-4-0-0;2.5.47, 4
68-1-0-0;2.5.24, 3
68-2-0-0;54093
68-3-0-0;vervallen (mvt)
68-4-0-0;vervallen (mvt)
69-1-0-0;2.5.38, 1
69-2-0-0;2.5.38, 2
69-3-0-0;2.5.38, 3
70-1-0-0;51171
70-2-0-0;2.5.39, 2
71-1-0-0;2.5.62, 1
71-2-0-0;2.5.62, 2
71-3-0-0;2.5.61, 2
71-4-0-0;2.5.64, 2
72-1-0-0;2.5.39, 1
72-2-0-0;2.5.39, 3
72-3-0-0;2.5.49, 1
72-4-0-0;2.5.49, 2
72-5-0-0;43136
72-6-0-0;2.5.50, 1 en 2
72a-1-0-0;2.5.62, 3
72a-2-0-0;2.5.64, 2
73-1-0-0;2.5.24, 1
73-2-0-0;2.5.24, 2
74-0-0-0;vervallen (mvt)
75-1-0-0;"2.5.51; 2.5.28"
75-2-0-0;2.5.52, 1 en 2
75-3-0-0;2.5.53, 1
75-4-0-0;2.5.53, 2 en 4
75-5-0-0;2.5.56, 1
75-6-0-0;2.5.55, 2
75-7-0-0;43136
75-8-0-0;2.5.56, 2
76-0-0-0;45693
77-1-0-0;2.5.23, 1
77-2-0-0;2.5.23, 2
77-3-0-0;2.5.23, 3
78-1-0-0;2.5.21, 1
78-2-0-0;2.5.21, 2
78-3-0-0;2.5.21, 3
78-4-0-0;2.5.21, 4
78-5-0-0;2.5.22, 1
78-6-0-0;2.5.22, 2
79-0-0-0;2.5.22, 1
80-1-0-0;2.5.32, 1
80-2-0-0;2.5.33, 1
80-2-0-1;2.5.33, 1, b
80-2-0-2;2.5.33, 1, c
80-2-0-3;2.5.33, 1, d
80-3-0-0;2.5.33, 3
80-4-0-0;vervallen (mvt)
80-5-0-0;2.5.33, 3
80-6-0-0;algemene regeling 1.4.8
80-7-0-0;2.5.32, 2
81-1-0-0;2.5.34, 1
81-2-0-0;vervallen (mvt)
82-1-0-0;2.5.34, 2
82-2-0-0;2.5.37, 1
83-1-0-0;2.5.34, 3
83-2-0-0;vervallen (mvt)
83-3-0-0;vervallen (mvt)
83-4-0-0;2.5.34, 4
84-1-0-0;2.5.35, 1
84-2-0-0;2.5.35, 2
85-0-0-0;2.5.36, 2
86-1-0-0;2.5.32, 1
86-2-0-0;2.5.37, 2
86-3-0-0;2.5.36, 1
86-4-0-0;2.5.22, 1
86-5-0-0;2.5.24, 1
87-1-0-0;2.5.61, 1
87-2-0-0;2.5.63, 1 en 2
87-3-0-0;2.5.64, 2
88-0-0-0;vervallen (mvt)
94-1-0-0;2.7.4, 1, a en b
94-2-0-0;2.7.4, 1, c en d
94-3-0-0;"2.7.5, 1; 2.7.17, 1 en 2"
94a-1-0-0;"2.7.5; 2.7.19, 1"
94a-2-0-0;2.7.19, 2
94a-3-0-0;2.7.19, 3
94a-4-0-0;2.7.19, 4
94a-5-0-0;2.7.19, 5
94a-6-0-0;2.1.1
94b-0-0-0;besluit B2
94b-0-0-1;besluit B2
94b-0-0-2;besluit B2
94b-0-0-3;besluit B2
94b-0-0-4;besluit B2
94c-0-0-0;2.7.21, 1
94c-0-a-0;2.7.21, 1, a
94c-0-b-0;2.7.21, 1, c
94c-0-c-0;2.7.21, 1, d
94c-0-d-0;2.7.21, 1, b
94c-0-e-0;2.7.21, 1, e
94c-0-f-0;2.7.21, 1, 6f
94c-0-g-0;2.7.21, 1, g
94c-0-h-0;2.7.21, 1, h
94c-0-i-0;2.7.21, 1, i
94d-1-0-0;2.7.22, 1
94d-2-0-0;2.7.22, 2
94d-3-0-0;2.7.22, 3
94d-4-0-0;2.7.22, 4
95-1-0-0;2.7.7
95-2-0-0;2.6.6, 1
96-1-0-0;"2.7.8; 2.7.10, a"
96-2-0-0;"2.7.3, 1, c, en 2; 2.7.10, b"
96a-1-0-0;2.7.9, 1
96a-2-0-0;2.7.2
96a-3-0-0;2.7.58, 1
96a-3-a-0;2.7.58, 1, a
96a-3-b-0;2.7.58, 1, c
96a-3-c-0;2.7.58, 1, b
96a-4-0-0;vervallen (mvt)
96a-5-0-0;vervallen (mvt)
96b-1-0-0;2.7.11, 1
96b-2-0-0;2.7.11, 2
96b-2-a-0;2.7.11, 2, a
96b-2-b-0;2.7.11, 2, b
96c-1-0-0;2.7.12, 1
96c-2-0-0;2.7.12, 2
96c-3-0-0;2.7.12, 3
96c-4-0-0;"2.7.3, 1, c, en 2; 2.7.10, b"
97-1-0-0;2.7.13, 1
97-2-0-0;2.7.13, 1
97-3-0-0;2.7.13, 2
97-4-0-0;2.7.13, 2
97-5-0-0;"2.7.3, 1, c en 2; 2.7.10, b"
